distnum,distname,type,lastname,middlename,firstname,party,numvotes,voteshare,rejected,totalvotes
10001,Avalon,validated,Chapman,,Matthew,CPC,12855.0,31.1,397.0,41731.0
10001,Avalon,validated,Malone,,Greg,GPC,2215.0,5.4,397.0,41731.0
10001,Avalon,validated,McDonald,,Kenneth,LPC,19122.0,46.3,397.0,41731.0
10001,Avalon,validated,Movelle,,Lea Mary,NDP,7142.0,17.3,397.0,41731.0
10002,Bonavista--Burin--Trinity,validated,Cooper,,Matthew,NDP,3855.0,12.0,609.0,32788.0
10002,Bonavista--Burin--Trinity,validated,Reichel,,Kelsey,GPC,920.0,2.9,609.0,32788.0
10002,Bonavista--Burin--Trinity,validated,Rogers,,Churence,LPC,14707.0,45.7,609.0,32788.0
10002,Bonavista--Burin--Trinity,validated,Vokey,,Sharon,CPC,12697.0,39.5,609.0,32788.0
10003,Coast of Bays--Central--Notre Dame,validated,Bracci,,Alex,CPC,12081.0,35.3,770.0,34952.0
10003,Coast of Bays--Central--Notre Dame,validated,Joe,,Noel,NDP,4224.0,12.4,770.0,34952.0
10003,Coast of Bays--Central--Notre Dame,validated,Simms,,Scott,LPC,16514.0,48.3,770.0,34952.0
10003,Coast of Bays--Central--Notre Dame,validated,White,,Byron,GPC,1363.0,4.0,770.0,34952.0
10004,Labrador,validated,Colbourne,,Tyler,GPC,224.0,2.0,139.0,11558.0
10004,Labrador,validated,Flemming,,Larry,CPC,3548.0,31.1,139.0,11558.0
10004,Labrador,validated,Gray,,Michelene,NDP,2796.0,24.5,139.0,11558.0
10004,Labrador,validated,Jones,,Yvonne,LPC,4851.0,42.5,139.0,11558.0
10005,Long Range Mountains,validated,Eisses,,Josh,CPC,10873.0,28.3,576.0,39002.0
10005,Long Range Mountains,validated,Hutchings,,Gudie,LPC,18199.0,47.4,576.0,39002.0
10005,Long Range Mountains,validated,Knill,,Lucas,GPC,1334.0,3.5,576.0,39002.0
10005,Long Range Mountains,validated,Miles,,Robert,VCP,411.0,1.1,576.0,39002.0
10005,Long Range Mountains,validated,Pike,,Holly,NDP,7609.0,19.8,576.0,39002.0
10006,St. John's East,validated,Harris,,Jack,NDP,21148.0,46.9,528.0,45600.0
10006,St. John's East,validated,Peters,,David,GPC,821.0,1.8,528.0,45600.0
10006,St. John's East,validated,Wall,,Joedy,CPC,8141.0,18.1,528.0,45600.0
10006,St. John's East,validated,Whalen,,Nick,LPC,14962.0,33.2,528.0,45600.0
10007,St. John's South--Mount Pearl,validated,Anonsen,,Anne Marie,NDP,10890.0,26.8,592.0,41258.0
10007,St. John's South--Mount Pearl,validated,Hayward,,Alexandra,GPC,740.0,1.8,592.0,41258.0
10007,St. John's South--Mount Pearl,validated,Jones,,David,Christian Heritage Party,141.0,0.3,592.0,41258.0
10007,St. John's South--Mount Pearl,validated,Martin,,Terry,CPC,7767.0,19.1,592.0,41258.0
10007,St. John's South--Mount Pearl,validated,O'Regan,,Seamus,LPC,20793.0,51.1,592.0,41258.0
10007,St. John's South--Mount Pearl,validated,Ruckpaul,,Benjamin,PPC,335.0,0.8,592.0,41258.0
11001,Cardigan,validated,Beaton,,Glen,GPC,3068.0,13.8,232.0,22399.0
11001,Cardigan,validated,MacAulay,,Lawrence,LPC,10939.0,49.3,232.0,22399.0
